,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100
566,52.5824421,60.6369422,6.98093313,90.8227864,61.5093815,15.176082,444.288523,62.4698478,22.3490144,5736.53338,62.5880193,23.2100136,60088.4909,62.5685967,23.1312649,52.5824421,60.6369422,6.98093313,10600288.4,3548.90979,-492.053911,-0.057200142,90.8227864,61.5093815,15.176082,10235872.6,3222.97503,-1701.9781,-0.136556287,444.288523,62.4698478,22.3490144,9114631.11,2538.59269,-3057.15291,-0.214199486,5736.53338,62.5880193,23.2100136,8294606.76,2231.81622,-2702.32776,-0.194761193,60088.4909,62.5685967,23.1312649,8238581.61,2232.23331,-2670.81529,-0.193471919,52.5824421,0.0121613154,0.00679529495,90.8227864,0.00843002938,0.00429688893,444.288523,0.00371664314,0.00152266357,5736.53338,0.0025522927,0.001086826,60088.4909,0.00247579642,0.149777031,4.98038858,60.0066707,0.0773572433,10599984.4,3553.24816,2428.94215,2.68234148,5.04969005,60.085115,0.980259336,10243544.3,3239.38586,3136.38258,0.989768012,5.82911581,60.9539104,10.1560501,9156681.57,2564.26049,1924.99674,0.19961746,7.6390463,62.3035566,21.4150365,8401544.78,2287.69452,313.158265,0.0233466674,8.30148436,62.4878528,22.6697004,8310406.76,2270.14057,48.3347274,0.00352148013
547,359.978152,2018.53045,9153251.56,412.895618,2084.14666,9234453.01,683.311535,2178.48053,8901173.29,4704.49241,2226.0779,8182893.52,42064.8852,2230.097,8219532.89,359.978152,2018.53045,9153251.56,9153251.56,2019.51588,-1556.73451,-0.100152247,412.895618,2084.14666,9234453.01,9234453.01,2085.09774,-1407.80196,-0.0914378965,683.311535,2178.48053,8901173.29,8901173.29,2179.38282,-1438.63386,-0.0984896716,4704.49241,2226.0779,8182893.52,8182893.52,2226.95832,-2308.33371,-0.167047198,42064.8852,2230.097,8219532.89,8219532.89,2230.97476,-2626.04377,-0.190307929,354.640697,0.00112301439,0.000304697542,406.620291,0.00157569731,0.000545344533,675.933437,0.00244364026,0.00101816089,4659.73667,0.00314157853,0.00132126343,41385.1788,0.00358419938,0.195625451,354.640697,2044.88608,9243552.06,9243552.06,2045.9509,0.0,0.0,406.620291,2112.18404,9324618.29,9324618.29,2113.21495,0.0,0.0,675.933437,2199.33999,8957592.44,8957592.44,2200.33007,0.0,0.0,4659.73667,2245.56237,8220989.61,8220989.61,2246.53208,0.0,0.0,41385.1788,2263.75443,8283338.49,8283338.49,2264.71635,0.0,0.0
763,235.691536,2318.24459,8398653.87,282.976525,2312.64552,8484543.25,506.100832,2265.62992,8439932.72,3873.34534,2255.06854,8252675.6,39965.4252,2254.00114,8220454.37,235.691536,2318.24459,8398653.87,8398653.87,2319.06275,-1976.1594,-0.175277185,282.976525,2312.64552,8484543.25,8484543.25,2313.46818,-1606.78433,-0.13797571,506.100832,2265.62992,8439932.72,8439932.72,2266.47786,-1617.00952,-0.128946792,3873.34534,2255.06854,8252675.6,8252675.6,2255.93261,-2389.1825,-0.176558586,39965.4252,2254.00114,8220454.37,8220454.37,2254.86923,-2653.43564,-0.192560398,235.691535,0.00213410027,0.000917579303,282.976331,0.00248263277,0.00107051625,505.869317,0.00331146784,0.00150923517,3838.50038,0.00385671775,0.00289174325,39515.6357,0.00394089376,0.596684143,235.691535,2318.24459,8398653.87,8398653.87,2319.2034,-1247.14126,-0.0742935279,282.976331,2312.64692,8484546.16,8484546.16,2313.60788,-1228.49944,-0.0730992747,505.869317,2266.5444,8441948.57,8441948.57,2267.52472,-1188.21076,-0.0711649051,3838.50038,2273.46855,8289265.19,8289265.19,2274.44581,-1185.15124,-0.0717633431,39515.6357,2277.44316,8264491.74,8264491.74,2278.41871,-1186.60188,-0.0719719888
397,216.032516,62.3356659,21.8359189,399.1529,62.2441188,21.1175553,939.512836,62.2969447,21.4085321,6138.29322,62.5390245,22.9837488,49149.4753,62.5830349,23.2647157,216.032516,62.3356659,21.8359189,6726078.9,2282.38983,-1965.73161,-0.162202486,399.1529,62.2441188,21.1175553,7141703.73,2199.17378,-2920.75325,-0.23783301,939.512836,62.2969447,21.4085321,7598408.6,2208.5385,-3592.10387,-0.28163986,6138.29322,62.5390245,22.9837488,7520079.77,2236.40957,-3192.75086,-0.242852945,49149.4753,62.5830349,23.2647157,7864785.13,2234.74689,-2808.54583,-0.207629573,216.032516,0.00172127152,0.000351122131,399.1529,0.00150792765,0.000414540835,939.512836,0.00170720855,0.000564885872,6138.29322,0.00237990272,0.000882972954,49149.4753,0.00958875353,14.0211612,2.70617356,61.7544057,17.5830826,6726079.33,2282.37455,1114.45746,0.102479028,3.2607447,62.587397,23.5959147,7141734.71,2199.20875,-1095.2041,-0.0843674255,4.24742042,63.5311245,28.6192099,7599669.75,2209.46318,-3433.07096,-0.232785862,4.91459787,63.954039,30.2467051,7530647.6,2243.53011,-4321.23981,-0.286320978,4.99134842,63.9954158,30.3849191,7922746.37,2268.6443,-4502.7821,-0.290211095
882,248.797553,2492.11021,7446808.15,277.929055,2494.96501,7515845.89,464.899149,2415.89411,7852788.83,4348.50141,2286.69956,7798466.49,39809.528,2257.05467,7904789.88,248.797553,2492.11021,7446808.15,7446808.15,2492.89542,-3652.73821,-0.277712741,277.929055,2494.96501,7515845.89,7515845.89,2495.74954,-3485.48337,-0.263579918,464.899149,2415.89411,7852788.83,7852788.83,2416.70853,-3496.98376,-0.253319653,4348.50141,2286.69956,7798466.49,7798466.49,2287.55691,-2941.27769,-0.217113508,39809.528,2257.05467,7904789.88,7904789.88,2257.92239,-2659.33691,-0.195911216,248.797553,0.00446057716,0.00673553344,277.929055,0.00498743536,0.00761244041,464.894089,0.00491663466,0.00745508734,4320.70732,0.00349677096,0.00471418227,39307.9085,0.00718214676,7.38768194,248.797553,2492.11021,7446808.15,7446808.15,2493.00222,-2498.7995,-0.158102107,277.929055,2494.96501,7515845.89,7515845.89,2495.85581,-2665.38888,-0.168521477,464.894089,2415.91755,7852823.38,7852823.38,2416.8373,-2237.80831,-0.138967831,4320.70732,2300.3583,7819136.69,7819136.69,2301.32414,-1689.29469,-0.105320759,39307.9079,2283.64283,7948843.94,7948843.94,2284.61573,-1611.74346,-0.0996805865
216,52.2231858,2547.30433,6561697.09,74.8255861,2508.29519,7011382.93,278.859784,2359.69223,8143779.68,3815.23878,2242.35878,8315590.13,40216.5832,2258.18625,8248288.57,52.2231858,2547.30433,6561697.09,6561697.09,2548.06787,-3096.49332,-0.26132978,74.8255861,2508.29519,7011382.93,7011382.93,2509.06931,-2183.17971,-0.178985976,278.859784,2359.69223,8143779.68,8143779.68,2360.51646,-2533.36867,-0.190020136,3815.23878,2242.35878,8315590.13,8315590.13,2243.22961,-2668.82717,-0.194418436,40216.5832,2258.18625,8248288.57,8248288.57,2259.05284,-2734.97997,-0.198010842,52.2231609,0.00941055653,0.0035496638,74.816348,0.00933550068,0.00383838724,275.320792,0.00600818492,0.00248566163,3757.59414,0.00389212564,0.00152739981,39793.2589,0.00411931386,1.02669598,52.2231609,2547.30549,6561697.4,6561697.4,2548.16037,0.00518265409,0.0,74.816348,2508.59059,7011540.52,7011540.52,2509.45866,0.474051782,0.0,275.320792,2388.47501,8183025.54,8183025.54,2389.38672,18.8920027,0.0,3757.59414,2274.66201,8373822.64,8373822.64,2275.61615,18.5675816,0.00634465368,39793.2588,2280.27481,8289119.45,8289119.45,2281.14762,17.6120327,0.00135287397
349,392.168077,62.3430577,19.8448817,435.755955,62.3339674,19.869963,716.347847,62.5690898,22.0612551,5509.02194,62.6804301,23.6822813,57939.5476,62.5868628,23.2447109,392.168077,62.3430577,19.8448817,9264368.05,2569.26883,-2874.38696,-0.211988878,435.755955,62.3339674,19.869963,9319575.75,2582.66289,-2564.01673,-0.188418809,716.347847,62.5690898,22.0612551,8778234.8,2467.17997,-1903.50176,-0.136783773,5509.02194,62.6804301,23.6822813,7968066.02,2265.39696,-2574.54786,-0.187418622,57939.5476,62.5868628,23.2447109,8249704.32,2257.43623,-2756.78665,-0.199077368,392.168077,0.00121670697,0.000440991781,435.755955,0.0015730998,0.000609534153,716.347847,0.00229616806,0.000902078552,5509.02194,0.00265310346,0.000995194824,57939.5476,0.00275106268,0.541391369,1.92020688,62.8753367,8.98445906,9264368.05,2569.2818,43.8696702,0.00480850976,1.95133021,62.9251744,8.99440114,9319575.75,2582.67723,41.5856903,0.00454213165,1.98350619,62.9750535,8.99937767,8778245.9,2467.19655,-55.5882599,-0.00625421734,1.99833825,62.9975053,8.99999378,7991527.79,2279.1924,-12.1294984,-0.00143023311,2.33290021,62.9559354,11.1510752,8294226.12,2281.39624,7.03655273,0.000731667287
86,230.358106,2436.76202,8859999.89,276.386411,2513.51698,8784721.55,471.802123,2474.99261,8654799.61,3752.11535,2279.20397,8386983.82,41113.7253,2258.77992,8207231.84,230.358106,2436.76202,8859999.89,8859999.89,2437.56924,-4099.20057,-0.27959732,276.386411,2513.51698,8784721.55,8784721.55,2514.29645,-3796.77712,-0.264946793,471.802123,2474.99261,8654799.61,8654799.61,2475.7845,-3016.51836,-0.211944348,3752.11535,2279.20397,8386983.82,8386983.82,2280.06279,-3010.85372,-0.21583307,41113.7253,2258.77992,8207231.84,8207231.84,2259.64653,-2751.27857,-0.199343035,230.358106,0.00191011152,0.000798072384,276.386406,0.0025938711,0.00140203724,471.741596,0.00372313339,0.00235605124,3734.64239,0.00394210856,0.00231806601,40652.3633,0.00421033864,1.37834811,230.358106,2436.76202,8859999.89,8859999.89,2437.67464,-1794.00763,-0.102824112,276.386406,2513.51702,8784721.61,8784721.61,2514.40147,-1605.35341,-0.0931924444,471.741596,2475.28692,8655230.77,8655230.77,2476.18469,-1309.15398,-0.0772424976,3734.64239,2288.84335,8405979.31,8405979.31,2289.81283,-217.966326,-0.0130889023,40652.3632,2282.26076,8250552.49,8250552.49,2283.16129,-13.9018719,-0.000871826387
402,327.461498,62.4579149,22.3011903,477.22654,62.5431017,22.9159732,902.549404,62.6172932,23.4323255,6566.96938,62.5635755,23.1246714,60510.3404,62.5720002,23.1664009,327.461498,62.4579149,22.3011903,8036887.66,2287.37163,-3499.06784,-0.261363172,477.22654,62.5431017,22.9159732,8147909.2,2213.00532,-3747.05703,-0.274219327,902.549404,62.6172932,23.4323255,8329350.73,2209.31477,-3700.39523,-0.264871263,6566.96938,62.5635755,23.1246714,8184573.83,2230.32216,-2722.73141,-0.197910566,60510.3404,62.5720002,23.1664009,8208738.73,2244.62737,-2671.22717,-0.193706112,327.461498,0.00118338836,0.000291600194,477.22654,0.00132411648,0.000439835449,902.549404,0.00184016373,0.000803072883,6566.96938,0.00223667534,0.0011627544,60510.3404,0.0025182934,0.273584547,1.0,66.0,0.0,8036887.66,2287.47109,-0.0337158102,0.0,1.0,66.0,0.0,8147909.2,2213.10572,23.4125316,0.0,1.0,66.0,0.0,8329480.88,2209.46908,205.495302,0.0,1.01759616,65.938617,0.60180766,8199829.76,2238.17599,56.6708737,0.0255110677,5.5187031,63.1364538,20.4572037,8251489.26,2267.23671,37.5815236,0.002892578
854,167.320603,1836.59696,6742837.27,262.701835,1962.39316,7387441.88,620.191298,2144.5863,8095373.1,4128.86847,2208.02294,7940981.58,8757.59099,2058.38706,7519686.81,167.320603,1836.59696,6742837.27,6742837.27,1837.65653,-2209.52424,-0.18047055,262.701835,1962.39316,7387441.88,7387441.88,1963.3801,-2187.17993,-0.175104699,620.191298,2144.5863,8095373.1,8095373.1,2145.48862,-1998.72293,-0.153880928,4128.86847,2208.02294,7940981.58,7940981.58,2208.9108,-2050.61766,-0.149960677,8757.59099,2058.38706,7519686.81,7519686.81,2059.34222,-1449.96464,-0.107672302,139.965483,0.00292359114,0.00068776642,231.613166,0.00265080794,0.000708017561,584.694972,0.00275561554,0.00093041715,4059.90109,0.0401714664,71.9582745,8120.37724,0.190007772,363.095016,139.965483,2180.25068,7338267.67,7338267.67,2181.27029,-2967.42974,-0.189348646,231.613166,2215.28628,7838579.31,7838579.31,2216.28954,-3639.50202,-0.225477804,584.694972,2270.02344,8311910.16,8311910.16,2271.00228,-4181.40193,-0.252450545,4059.90109,2243.29832,8000827.54,8000827.54,2244.28872,-4140.09033,-0.255176367,8120.37104,2206.37382,7804095.91,7804095.91,2207.38078,-4031.054,-0.251608311
