,frame.time_epoch,frame.len,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ipv6.src,ipv6.dst
559,1499450037.9535737,167,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
174,1499450504.9796157,164,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
197,1499454165.8649795,113,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
24,1499454406.875023,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,49800.0,80.0,,,,,,,,,,,
549,1499454207.944343,127,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
410,1499454735.4377642,191,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,55226.0,80.0,,,,,,,,,,,
585,1499450034.4011283,121,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
530,1499454279.8195117,3660,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
52,1499454389.296347,200,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
579,1499454845.4679224,87,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,55850.0,80.0,,,,,,,,,,,
277,1499454847.7603018,117,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
112,1499454554.0073912,3754,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
38,1499454995.9105785,161,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
140,1499449841.2469146,126,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
1,1499454590.247137,60,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,57177.0,,,,,,,,,,,
576,1499450134.8777351,117,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
321,1499453962.2565172,67,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
181,1499454729.4056857,145,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
97,1499450177.4170182,117,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,54040.0,,,,,,,,,,,
12,1499454582.186255,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,56920.0,80.0,,,,,,,,,,,
420,1499450327.3595634,112,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
4,1499454556.114336,74,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,56242.0,80.0,,,,,,,,,,,
167,1499454905.0001366,126,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
136,1499454292.6152067,194,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
522,1499454044.4400911,89,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
308,1499453958.318344,140,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
119,1499449827.3985777,192,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
508,1499454057.18974,189,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
117,1499450117.2063615,138,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
341,1499455050.3751016,63,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
447,1499454455.1128442,135,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,5811.0,,,,,,,,,,,
11,1499454432.025605,2889,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,50486.0,,,,,,,,,,,
345,1499449973.4478283,103,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
560,1499454113.624449,198,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
518,1499454188.03613,134,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
29,1499454301.4905288,171,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
572,1499454455.1023004,144,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
458,1499454399.1073256,179,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
169,1499454336.4469042,136,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
536,1499453984.8918295,148,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
384,1499455225.6009076,101,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
6,1499454736.655425,74,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,58640.0,80.0,,,,,,,,,,,
379,1499454234.5147803,147,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
249,1499454972.5154583,143,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
274,1499454348.290197,189,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
336,1499453916.528712,146,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
377,1499454440.1740212,138,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
289,1499454285.990054,101,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
51,1499450428.8247414,199,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
398,1499453917.121661,99,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
25,1499454744.489619,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,58823.0,80.0,,,,,,,,,,,
295,1499454038.8424735,107,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
498,1499452331.765536,1830,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
163,1499454925.98393,119,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
523,1499454668.8407693,104,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
517,1499454094.9001594,187,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
106,1499453931.1085498,151,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
470,1499454359.5652409,123,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
353,1499454082.1313226,165,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
223,1499455044.1192317,96,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
268,1499454619.9438124,193,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
31,1499453638.266673,134,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
207,1499454009.460801,153,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,54631.0,80.0,,,,,,,,,,,
78,1499454318.3267407,129,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
369,1499454202.61745,152,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
316,1499454085.666072,172,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
418,1499454168.442831,163,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
328,1499454130.9072433,158,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
233,1499454521.0447755,137,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
513,1499454084.1522207,170,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
224,1499454286.2438507,121,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
230,1499455020.7561955,114,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
313,1499454300.698799,156,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
262,1499454902.9470394,98,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,57730.0,,,,,,,,,,,
177,1499454394.6390646,159,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,53327.0,,,,,,,,,,,
220,1499454793.64398,144,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
343,1499455191.3943036,163,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
211,1499454932.9763691,122,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
64,1499454523.8858168,99,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
247,1499454039.1040587,157,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
318,1499454307.2518408,124,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
104,1499454483.4914052,125,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
527,1499454551.7221687,130,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
359,1499454834.0174954,173,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
497,1499454023.3590462,159,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
120,1499454007.0159206,143,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,465.0,80.0,,,,,,,,,,,
100,1499454185.453148,115,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
144,1499454157.6689663,136,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
469,1499454703.488918,154,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
446,1499453850.7831175,129,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
290,1499454402.7677886,199,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
578,1499454609.3990157,88,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
558,1499454762.4429486,144,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,56242.0,57177.0,,,,,,,,,,,
589,1499454311.2186694,139,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
162,1499454910.4984293,89,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
350,1499454332.0064075,134,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
516,1499454303.551361,97,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
75,1499454874.2410684,126,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
481,1499454080.5424774,75,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
413,1499454540.013356,187,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
65,1499449829.94798,147,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
544,1499454043.574103,169,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
46,1499454433.3885574,188,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
426,1499454591.4952269,162,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
440,1499454907.8301866,149,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
151,1499454066.1981902,93,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
529,1499454015.7475123,169,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
524,1499450108.0976658,140,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
348,1499449934.6373196,136,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
317,1499454643.7583387,204,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
320,1499454489.013397,184,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,56920.0,59362.0,,,,,,,,,,,
149,1499453991.321763,141,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
3,1499454002.389075,60,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,55170.0,,,,,,,,,,,
212,1499454996.967823,100,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
526,1499454430.3232832,142,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
275,1499454769.1961598,174,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
577,1499454153.5240858,123,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
